lengua y traducctor,id_título,título,anio primer edición,editorial1b 1,editorial1b 2,editorial1b 3,editorial1b 4,editorial1b 5,editorial1b 6,editorial2b,ciudad_ed,país_ed,lengua o idioma,género,género2
,213566,Adam W Edenie,2012,Swiat Ksiazki,,,,,,,Varsovia,Polonia,Polaco,Narrativa,Novela
Traducción al francés de: Céline Zins.,213567,Le borgne est roi,1971,Gallimard,,,,,,Du monde entier,X,Francia,Francés,Dramaturgia,
Traducción al sueco de: Hanna Axén.,213568,Striderna i öknen,2014,Tranan,,,,,,,Estocolmo,Suecia,Sueco,Narrativa,Novela
Traducción al sueco de: Annakarin Thorburn.,213569,Tiebreak,2014,Natur och Kultur,,,,,,,Estocolmo,Suecia,Sueco,Narrativa,Novela
Traducción al sueco de: Inger Fahlander.,213570,Kärlek het som chili,1992,Natur och Kultur,Legenda,,,,,,Estocolmo,Suecia,Sueco,Narrativa,Novela
Traducción al sueco de: Ulf Eriksson. Traducción al sueco de: Magnus William-Olsson.,213571,Migrationer,2009,Wahlström &amp; Widstrand,,,,,,W & W internationell poesi,Estocolmo,Suecia,Sueco,Poesía,
Traducción al sueco de: Hanna Axén.,213572,Amfitryon,2009,Tranan,,,,,,,Estocolmo,Suecia,Sueco,Narrativa,Novela
Traducción al inglés de: Alastair Reid.,213573,Antipodes,2004,Leer y Escribir,,,,,,,Londres,Reino Unido,Inglés,Narrativa,Cuento
Traducción al finés de: Tarja Härkönen.,213574,Kotkan Istuin,2004,Gummerus Kirjapaino Oy,,,,,,,Helsinki,Finlandia,Finés,Narrativa,Novela
Traducciones de: Nihal Yeginobali.,213575,Koca gringo,2003,Can Yayinlari,,,,,,,Estambul,Turquía,Turco,Narrativa,Novela
traducción al polaco de: Zofia Wasitowa.,213577,Fotel Orla,2004,Swiat Ksiazki,,,,,,,Varsovia,Polonia,Polaco,Narrativa,Novela
Traducción de: Elzbieta Komarnicka.,213579,Lata z Laura Diaz,2001,Grupa Wydawnicza Bertelsmann Media LiBROS,,,,,,Klasyka wspólczesnosci,Varsovia,Polonia,Polaco,Narrativa,Novela
Traducción al portugués de: Ebréia De Castro Alves.,213581,Este é meu credo,2006,Rocco,,,,,,,Río de Janeiro,Brasil,Portugués,Obras biográficas,"Biografías, autobiografías y memorias"
Traducción al italiano de: Eleonora Mogavero.,213584,In questo io credo,2005,Il Saggiatore,,,,,,,Milano,Italia,Italiano,Obras biográficas,"Biografías, autobiografías y memorias"
Traducción de: Margaret Sayers Peden . Traducción de: Margaret Sayers Peden .,213585,The Old Gringo,1986,Harper &amp; Row,,,,,,,Nueva York,EUA,Inglés,Narrativa,Novela
Traducción al francés de: Céline Zins.,213586,Christophe et son œuf,1990,Gallimard,,,,,,Folio,Manchecourt,Francia,Francés,Narrativa,Novela
Traducción al portugués de: J. Teixeira de Aguilar.,213587,Aquilo em que acredito,2003,Dom Quixote,,,,,,Ficção Universal,Lisboa,Portugal,Portugués,Obras biográficas,"Biografías, autobiografías y memorias"
,213589,De jaren met Laura Díaz,2000,Meulenhoff,,,,,,,Ámsterdam,Países Bajos,Holandés,Narrativa,Novela
Traducción al francés de : Jean-Claude Masson.,213591,Ce que je crois,2003,Éditions Grasset,,,,,,,Mesnil-sur-l'Estrée,Francia,Francés,Obras biográficas,"Biografías, autobiografías y memorias"
Traducción al alemán de: Maria Bamberg.,213593,Christoph ungeborn,1994,Rowohlt,,,,,,rororo,Hamburgo,Alemania,Alemán,Narrativa,Novela
,213594,Laura Díaz'li Yillar,2001,Can Yayinlari,,,,,,,Estambul,Turquía,Turco,Narrativa,Novela
Traducción de: Céline Zins. Con la colaboración de: José M. Ruiz-Funes.,213596,Les années avec Laura Díaz,2001,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Narrativa,Novela
Traducción al francés de : Céline Zins.,213599,Diane ou La chasseresse solitaire,1996,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Narrativa,Novela
Traducción al estonio: Margus Ott.,213602,Inezi Vaist,2006,Pegasus,,,,,,,Tallin,Estonia,Estonio,Narrativa,Novela
Traducción de: Alfred Mac Adam. Traducción al inglés de: Alfred Mac Adam.,213603,The Years with Laura Díaz,2000,"Farrar, Straus and Giroux",,,,,,,Nueva York,EUA,Inglés,Narrativa,Novela
Traducción al finés de: Tarja Härkönen.,213604,Inez,2002,Gummerus Kirjapaino Oy,,,,,,,Helsinki,Finlandia,Finés,Narrativa,Novela
,213611,Peau Neuve,1971,Gallimard,,,,,,,París,Francia,Francés,Narrativa,Novela
,213612,Hamskifte,1972,Samlerens bogklub,,,,,,,X,Dinamarca,Danés,Narrativa,
Traducción y nota introductoria de: Sadan Karadeniz.,213613,Deri Degistirmek,1984,,,,,,,,Estambul,Turquía,Turco,Narrativa,Novela
,213615,A change of skin,1968,"Farrar, Straus and Giroux",,,,,,,Nueva York,EUA,Inglés,Narrativa,Novela
,213617,"Xtille Zikw Belé, Ihén bene nhálhje ke Yu' Bza'o = Pancho Culebro y los naguales de Tierra Azul",2007,Consejo Nacional para la Cultura y las Artes,Dirección General de Culturas Populares,,,,,CONACULTA,D.F.,México,zapoteco,Narrativa,Novela
Traducción al inglés de: Alfred Mac Adam.,213618,The orange tree,1994,"Farrar, Straus and Giroux",,,,,,,Nueva York,EUA,Inglés,Narrativa,Novela
Traducción al francés de: Céline Zins.,213622,L'oranger,1995,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Narrativa,Novela
,213625,Urosziny,2001,Wydawnictwo Literackie,,,,,,,Varsovia,Polonia,Polaco,Narrativa,Novela
Traducción al croata de: Tanja Tarbuk.,213627,Stablo narance,2004,Litteris,,,,,,,Zagreb,Croacia,Croata,Narrativa,
Traducción al francés de: Céline Zins.,213628,Anniversaire,2011,Gallimard,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al inglés de: Margaret Sayers Peden .,213634,Inez,2002,"Farrar, Straus and Giroux",,,,,,,Nueva York,EUA,Inglés,Narrativa,Novela
Traducción al inglés de: Margaret Sayers Peden .,213634,Inez,2002,"Farrar, Straus and Giroux",,,,,,,Nueva York,EUA,Inglés,Narrativa,Novela
Traducción de: Sanne Bertram.,213635,Den Gamle Gringo,1989,Gyldendal,,,,,,,X,Dinamarca,Danés,Narrativa,Novela
Posfacio de: Calin-Andrei Mihailescu.,213636,Crezul meu,2005,Curtea Veche Publishing,,,,,,,Bucarest,Rumania,Rumano,Obras biográficas,"Biografías, autobiografías y memorias"
Traducción y nota introductoria de: Céline Zins.,213638,Le vieux gringo,1986,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Narrativa,Novela
Traducción de: António José Massano.,213639,O velho gringo,1999,Planeta,Dom Quixote,,,,,,Lisboa,Portugal,Portugués,Narrativa,Novela
Traducción de: Matti Rossi.,213642,Vanha gringo,1989,Gummerus Kirjapaino Oy,,,,,,,X,Finlandia,Finés,Narrativa,Novela
Traducción al inglés de: Samantha Schnee.,213650,Texas: The Great Theft,2014,Deep Vellum,,,,,,,Dallas,EUA,Inglés,,
,213651,De spaanse erfenis,1992,Teleac,,,,,,,X,Países Bajos,Holandés,Ensayo,
traducción al polaco de: Barbara Jaroszuk.,213652,Wola i fortuna,2011,Swiat Ksiazki,,,,,,,Varsovia,Polonia,Polaco,Narrativa,Novela
Traducción al inglés de: Christina MacSweeney.,213653,Among Strange Victims,2015,Coffee House,,,,,,,Minneapolis,EUA,Inglés,,
Traducción al inglés de: Ivan Obolensky.,213654,The good conscience,1961,American Book-Stratford Press,,,,,,,Nueva York,EUA,Inglés,Narrativa,Novela
Traducción al inglés de: Christina MacSweeney.,213655,A Zero-Sum Game,2016,Deep Vellum,,,,,,,Dallas,EUA,Inglés,,
Traducción al francés de: Vanessa Capieu.,213656,La volonté et la fortune,2012,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Narrativa,Novela
,213657,Det begravede spejl,1993,Gyldendal,,,,,,,Copenhagen,Dinamarca,Danés,Ensayo,
Traducción al inglés de: Edith Grossman.,213659,Destiny and desire,2011,Random House,,,,,,,Nueva York,EUA,Inglés,Narrativa,Novela
Traducción al francés de: Jean-Claude Masson.,213660,Le miroir enterré. Réflexions sur l'Espagne et le Nouveau Monde,1994,Gallimard,,,,,,Hors série Littérature,París,Francia,Francés,Ensayo,
,213662,The buried mirror,1992,,,,,,,,X,EUA,Inglés,Ensayo,
Traducción al portugués de: Olga Savary.,213670,Aura,2005,Dom Quixote,L&amp;PM,,,,,POCKET,Porto Alegre,Brasil,Portugués,Narrativa,Novela
Traducción al inglés de: Steven Boldy.,213672,Agua quemada,1995,Manchester University Press,,,,,,Hispanic Texts,Manchester,Reino Unido,Inglés,Narrativa,Cuento
Traducción al alemán de: Barbara von Bechtolsheim.,213677,Von mir und anderen,1989,Deutsche Verlags-Anstalt,,,,,,,Stuttgart,Alemania,Alemán,Ensayo,
Traducción al checo de: Anežka Charvátová.,213679,Vlad,2014,Argo,,,,,,,Praga,República Checa,Checo,Narrativa,Novela
Traducción al inglés de: Edith Grossman.,213682,Happy families,2008,Bloomsbury,,,,,,,Londres,Reino Unido,Inglés,Narrativa,Novela
Traducción de: Alfred Mac Adam. Traducción de: Alfred Mac Adam.,213683,The campaign,1991,André Deutsch,,,,,,,Londres,Reino Unido,Inglés,Narrativa,Novela
Traducción al italiano de: Francesco Ciancabilla.,213686,Le relazioni lontane,2007,Il Saggiatore,,,,,,Narrativa,Milano,Italia,Italiano,Narrativa,Novela
Traducción al alemán de: Lisa Grüneisen.,213687,Alle glücklichen Familien,2011,Fischer,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Novela
Traducción al francés de: Céline Zins. Traducción al francés de: Aline Schulman.,213689,Le bonheur des familles,2009,Gallimard,,,,,,Folio / Gallimard - Folio,París,Francia,Francés,Narrativa,Novela
Traducción al alemán de: Veronika Schmidt.,213690,Constancia und andere Geschichten für Jungfrauen,1993,Fischer,,,,,,,X,Alemania,Alemán,Narrativa,Novela
Traducción al inglés de: Margaret Sayers Peden .,213691,Distant Relations,2006,Dalkey Archive Press,,,,,,,Illinois,EUA,Inglés,Narrativa,Novela
Traducción al francés de: Svetlana Doubin.,213692,Contre Bush,2004,Gallimard,,,,,,,París,Francia,Francés,Ensayo,
traducción al polaco de: Maria Kaniowa.,213693,Zmiana Skóry,1994,Salamandra,,,,,,,Varsovia,Polonia,Polaco,Narrativa,Novela
Traducción al inglés de: Margaret Sayers Peden .,213694,Terra nostra,1983,"Farrar, Straus and Giroux",,,,,,,X,EUA,Inglés,Narrativa,Novela
Traducción de: Veronika Schmidt.,213702,La campaña,1990,Hoffmann und Campe,,,,,,,Hanau,Alemania,Alemán,Narrativa,Novela
Traducción de: Claude Fell.,213703,La campagne d`Amérique,1994,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Narrativa,Novela
,213704,Felttoget,1993,Gyldendal,,,,,,,X,Dinamarca,Danés,Narrativa,Novela
Traducción al holandés de: Mariolein Sabarte Belacortu.,213709,De campagne,1992,Meulenhoff,,,,,,,Ámsterdam,Países Bajos,Holandés,Narrativa,Novela
Traducción al turco de: Zeynep Önal.,213717,Bütün Mutlu Aileler,2011,Can Yayinlari,,,,,,,Estambul,Turquía,Turco,Narrativa,Novela
traducción al polaco de: Barbara Jaroszuk.,213718,Wszystkie szczesliwe rodziny,2007,Swiat Ksiazki,,,,,,Lemur,Varsovia,Polonia,Polaco,Narrativa,Novela
Traducción al alemán de: Sabine Giersberg . Traducción al alemán de: Sabine Giersberg .,213721,Woran ich glaube : Alphabet des Lebens,2004,Deutsche Verlags-Anstalt,,,,,,,Munich,Alemania,Alemán,Obras biográficas,"Biografías, autobiografías y memorias"
Traducción al francés de: Céline Zins.,213722,Terra nostra,1979,Gallimard,,,,,,Folio,París,Francia,Francés,Narrativa,Novela
Traducción al inglés de: Kristina Cordero.,213723,This I Belive,2005,Bloomsbury Publishing PLC,,,,,,,Londres,Reino Unido,Inglés,Obras biográficas,"Biografías, autobiografías y memorias"
,213724,Toate pisicile sunt negre,2007,Editura ART,,,,,,,X,Rumanía,Rumano,Dramaturgia,
Traducción al holandés de: Arie van der Wal.,213730,Apollo en de hoeren,1995,Meulenhoff,,,,,,,Ámsterdam,Países Bajos,Holandés,Narrativa,Cuento
Traducción al francés de: Julie Cahen.,213732,Dèsert,2005,Éditions Le Miroir qui fume,,,,,,Théâtre Contemporain,X,Francia,Francés,Dramaturgia,
Traducción al francés de : Céline Zins.,213734,Des orchidées au clair de lune,1984,Gallimard,,,,,,,París,Francia,Francés,Dramaturgia,
Edición y compilación de: Jorge F. Hernández.,213758,"Sun, Stone, and Shadows : 20 Great Mexican Short Stories",2008,Fondo de Cultura Económica,,,,,,,D.F.,México,Inglés,Narrativa,Cuento
Traducción al holandés de: Mieke Westra.,213773,Aura,1991,Meulenhoff,,,,,,,Ámsterdam,Países Bajos,Holandés,Narrativa,Novela
Traducción de: Cornelia Radulescu.,213782,Instinctul lui Inez,2002,Humanitas,,,,,,,Bucarest,,Rumano,Narrativa,Novela
Traducción al francés de: Roger Munier.,213786,Point de convergence,2013,Gallimard,,,,,,Essais,París,Francia,Francés,Crítica y estudios sobre géneros varios,
Traducción al francés de : Ève- Marie . Traducción al francés de : Claude Fell.,213788,"Le sourire d'Erasme: épopée, utopie et mythe dans le roman hispano-américain",1992,Gallimard,,,,,,Le messager,París,Francia,Francés,Ensayo,
Traducción al francés de : Philippe Eustachon.,213802,Belize,2014,Éditions Le Miroir qui fume,,,,,,Théâtre Contemporain,X,Francia,Francés,Dramaturgia,
Traducción al francés de: Sophie Gewinner.,213805,Moctezuma II,2010,Éditions Le Miroir qui fume,,,,,,Théâtre mexican du XXe siècle,X,Francia,Francés,Dramaturgia,
Traducción al francés de: Adeline Isabel-Mignot. Traducción al francés de: Olivier Mouginot.,213807,Heures de nuit,2012,Éditions Le Miroir qui fume,,,,,,Théâtre Contemporain,X,Francia,Francés,Dramaturgia,
Traducción al francés de: Christilla Vasserot. Prefacio de: Daniel Meyran.,213809,Molière,2005,Éditions Le Miroir qui fume,,,,,,Théâtre Contemporain,X,Francia,Francés,Dramaturgia,
Traducción al francés de: Svetlana Doubin.,213812,Bienvenue dans le nouveau siècle Doktor Freud,2009,Éditions Le Miroir qui fume,,,,,,Théâtre Contemporain,X,Francia,Francés,Dramaturgia,
,213814,Phèdre et autres grecques,2004,Éditions Le Miroir qui fume,,,,,,Théâtre Contemporain,X,Francia,Francés,Dramaturgia,
Traducción al inglés de: Elizabeth Plaister.,213815,Palinuro of Mexico,1989,Quartet Books,,,,,,,Londres,Reino Unido,Inglés,Narrativa,Novela
Traducción al francés de: Rauda Jamis.,213816,"Cher Diego, Quiela t'embrasse",1993,Actes Sud,,,,,,,Arles,Francia,Francés,Narrativa,Novela
Traducción al francés de: Rauda Jamis.,213817,La fille du philosophe,1989,Actes Sud,,,,,,,Arles,Francia,Francés,Narrativa,Novela
Traducción al inglés de: David Dorado Romo.,213818,Las soldaderas : women of the Mexican Revolution,2006,Cinco Puntos Press,,,,,,,El Paso,EUA,Inglés,"Ensayo, Crítica y estudios sobre géneros varios",
Traducción al inglés de: Katherine Silver. Traducción al inglés de: Katherine Silver.,213819,Tinisima,1996,Faber,,,,,,,Londres,Reino Unido,Inglés,Narrativa,Novela
Traducción al inglés de: Deanna Heikkinen.,213821,The skin of the sky,2006,University of New Mexico Press,,,,,,,Albuquerque,EUA,Inglés,Narrativa,Novela
Traducción al inglés y prólogo de: Elizabeth Coonrod Martínez.,213844,Lilus Kikus and other stories,2005,University of New Mexico Press,,,,,,,Albuquerque,EUA,Inglés,Narrativa,Novela
Traducción al inglés de: Helen Lane.,213845,Massacre in Mexico,1975,The Viking Press,,,,,,,Nueva York,EUA,Inglés,Narrativa,Crónica
Traducción al francés de: Jean-Claude Masson.,213849,Itinéraire,1996,Gallimard,,,,,,Arcades,París,Francia,Francés,Obras biográficas,"Biografías, autobiografías y memorias"
Traducción al francés de: Jean-Claude Masson.,213852,Un au-delà érotique: le marquis de Sade,1994,Gallimard,,,,,,Arcades,París,Francia,Francés,Crítica y estudios sobre géneros varios,
Traducción al francés de: Claude Esteban.,213854,La flamme double. Amour et érotisme,1994,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Crítica y estudios sobre géneros varios,
Traducción al francés de: Robert Marrast.,213855,Conjonctions et disjonctions,1990,Gallimard,,,,,,Essais,París,Francia,Francés,Crítica y estudios sobre géneros varios,
Traducción al finés de: Roger Munier.,213857,Courant alternatif,1990,Gallimard,,,,,,Essais,París,Francia,Francés,Crítica y estudios sobre géneros varios,
Traducción al francés de: Florence Delay. Traducción al francés de: Frédéric Magne. Traducción al francés de: Jacques Roubaud.,213861,Le divin Narcisse précedé de Premier songe et autres textes,1987,Gallimard,,,,,,,París,Francia,Francés,Poesía,
Traducción al francés de: Marie-Amélie Sarrailh.,213864,La foire,1968,Gallimard,,,,,,La croix du Sud,París,Francia,Francés,Narrativa,Crónica
Traducción al francés de: Annette Andro.,213865,Le Christ des ténèbres,1994,Gallimard,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al danés de: Iben Hasselbach.,213871,Inez,2002,Lindhardt og Ringhof,,,,,,,X,Dinamarca,Danés,Narrativa,Novela
traducción al polaco de: Zofia Wasitowa.,213874,Instynkt pieknej Inez,2002,Grupa Wydawnicza Bertelsmann Media LiBROS,,,,,,,Varsovia,Polonia,Polaco,Narrativa,Novela
Traducción al turco de: Pinar Savas.,213878,Inez'in Sezgisi,2003,Can Yayinlari,,,,,,,Estambul,Turquía,Turco,Narrativa,Novela
Traducción al Otomí de: Margarita de la Vega Lázaro. Ilustración de: Irma Bastida Herrera.,213880,Machincuepa,2008,Fondo Editorial Estado de México,,,,,,Lectores Niños y Jóvenes / Secretaría de Educación del Estado de México,Toluca,México,otomí,,
Traducción al matlatzinca de: Leonardo Carranza Martínez. Ilustración de: Irma Bastida Herrera.,213881,Machincuepa,2008,Fondo Editorial Estado de México,,,,,,Lectores Niños y Jóvenes / Secretaría de Educación del Estado de México,Toluca,México,matlatzinca,Poesía,
Traducción al mazahua de: Joel Martínez Álvarez. Ilustración de: Irma Bastida Herrera.,213882,Machincuepa,2008,Fondo Editorial Estado de México,,,,,,Lectores Niños y Jóvenes / Secretaría de Educación del Estado de México,Toluca,México,mazahua,Poesía,
Traducción al francés de: Boris Schoemann.,213891,Le ciel dans la peau,2008,Éditions Le Miroir qui fume,,,,,,Théâtre Contemporain; 7,X,Francia,Francés,Dramaturgia,
Traducción al francés de: Elena de la Souchère.,213892,Les premiers mexicains. La vie créole au XVIe siècle,1969,Gallimard,,,,,,La croix du Sud,París,Francia,Francés,Ensayo,
Traducción al francés de: Laura Alcoba.,213895,Signes qui précéderont la fin du monde,2014,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Laura Alcoba.,213897,Les travaux du royaume,2012,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Juliette Ponce.,213898,L'affaire tequila. Une enquête de Sunny Pascal.,2014,Gallimard,,,,,,Folio policier,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Juliette Ponce.,213901,Martini shoot. Une enquête de Sunny Pascal,2013,Gallimard,,,,,,Folio policier,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Eugène Frédéric Illouz.,213904,Vif comme le désir,2013,Gallimard,,,,,,Folio,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Eduardo Jiménez Mayo. Traducción al francés de: Jacques Rémy-Zéphir.,213906,"Chocolat amer. Roman-feuilleton où l'on trouvera des recettes, des histoires d'amour et des remèdes de bonne femme.",2009,Gallimard,,,,,,Folio,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Eduardo Jiménez Mayo.,213909,Hypothermie,2012,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Narrativa,Novela
Traducción al inglés de: David Jhonston.,213910,On insomnia and midnight,2006,Oberon Books LTD,,,,,,,Londres,Reino Unido,Inglés,Dramaturgia,
Traducción al francés de: Gabriel Iaculli.,213911,Mezquite Road,2012,Gallimard,,,,,,Folio policier,París,Francia,Francés,Narrativa,Novela
,213912,The Labyrinth of Solitude,2005,Penguin Random House,,,,,,,,,Inglés,Ensayo,
Traducción al francés de: Gabriel Iaculli.,213913,Tijuana City Blues,2010,Gallimard,,,,,,Folio policier,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Jean-Luc Lacarrière.,213916,Cahier du nomade. Choix de poèmes 1946-1997,2009,Gallimard,,,,,,Poésie/Gallimard,París,Francia,Francés,Poesía,
Traducción al francés de: Gabriel Iaculli.,213918,La vie conjugale,2009,Gallimard,,,,,,Folio,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Serge Mestre.,213921,Edén,2009,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Vincent Raynaud.,213935,Vies perpendiculaires,2009,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Svetlana Doubin.,213936,Spirale d'artillerie,2007,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Albert Bensoussan.,213937,Amphitryon,2001,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Serge Mestre.,213939,Un café avec Gorrondona,2001,Gallimard,,,,,,Arcades,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Gabriel Iaculli.,213941,Mater la divine garce,2004,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Alain Hocquenghem.,213942,Une place en enfer,2004,Gallimard,,,,,,Série noire,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Aline Schulman.,213943,Survivent les mots. Poèmes 1986-1999,2003,Gallimard,,,,,,,París,Francia,Francés,Poesía,
Traducción al francés de: Céline Zins.,213944,Portraits dans le temps,2001,Gallimard,,,,,,,París,Francia,Francés,Poesía,
Traducción al francés de: Anny Amberni.,213945,Guerre au paradis,1999,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Narrativa,Novela
Traducción de: Maria Bamberg. Traducción de: Ulrich Kunzmann. Traducción de: Veronika Schmidt. Traducción de: Christa Wegen. Traducción de: Lisa Grüneisen.,213967,Die fünf Sonnen Mexicos: ein Lesebuch für das 21. Jahrhundert,2010,Fischer,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Novela
Traducción de: Uffe Harder.,213970,Kristoffer Ufødt,1991,Gyldendal,,,,,,,Conpenague,,Danés,Narrativa,Novela
Traducción al portugués de: Celso Mauro Paciornik.,213996,À sombra da revolução mexicana,2000,EDUSP,,,,,,,São Paulo,Brasil,Portugués,Ensayo,
Traducción al portugués de: Paulo Cesar Thomaz.,213998,A outra mão de Lepanto,2006,Palindromo,,,,,,,X,Brasil,Portugués,Narrativa,Novela
Introducción de: Álvaro Enrigue. Traducción al inglés de: George Henson.,214000,The journey,2015,Deep Vellum,,,,,,,Dallas,EUA,Inglés,Narrativa,Crónica
Traducción al inglés de: George Henson.,214002,The art of flight,2015,Deep Vellum,,,,,,,Dallas,EUA,Inglés,Títulos de géneros varios,
Traducción al francés de: Jean-Claude Masson.,214008,Le temps des anges,1997,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Poesía,
Traducción al francés de: Christilla Vasserot.,214010,La zone du silence,2005,Gallimard,,,,,,Bibliothèque étrangère,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Irma Sayol.,214014,Perséphone,1970,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Poesía,
Traducción al francés de: Ivan Alechine.,214016,Les poèmes solaires précédé de Le poète en voie d'extinction et suivi de Baleine grise,2009,Gallimard,,,,,,Poésie/Gallimard,París,Francia,Francés,Poesía,
Traducción al francés de: Georges Pillement.,214018,L'ombre du Caudillo,1996,Gallimard,,,,,,Folio,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Martine Breuer.,214019,Les jeux sont faits,2004,Passage du Nord-Ouest,,,,,,,Albi,Francia,Francés,Narrativa,Cuento
Traducción al francés de: Juliette Ponce.,214021,Mariachi,2009,Gallimard,,,,,,Denoël & d'ailleurs,París,Francia,Francés,Narrativa,Cuento
Traducción al francés de: Jean-Francis Reille. Prefacio de: Antonio Castro Leal.,214022,L'aigle et le serpent,1967,Gallimard,,,,,,La croix du Sud,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Martine Breuer.,214023,L'art de la fugue,2005,Passage du Nord-Ouest,,,,,,,Albi,Francia,Francés,Títulos de géneros varios,
Traducción al francés de: Dominique Fischer.,214024,Les mortes,1996,Gallimard,,,,,,Série noire,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Anny Amberni.,214054,Popol wuh. Le livre des événements,1990,Gallimard,,,,,,L'aube des peuples,París,Francia,Francés,Narrativa,
Traducción al francés de: Michel Bibard.,214057,L'histoire très ordinaire de la générale Ascencio,1989,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Janine Castan.,214058,Le deuil humain,1987,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Michel Sarre.,214061,Vie de Jésusa,1980,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: René L.-F. Durand.,214063,L'Hypogée secret,1971,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: René L.-F. Durand.,214065,"Farabeuf, ou, La chronique d'un instant",1969,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Gabrielle Cabrini.,214066,Poèmes,1960,Gallimard,,,,,,Folio bilingue,París,Francia,Francés,Poesía,
Traducción al francés de: Alexandra Carrasco.,214068,La petite reine de Bahia,2014,Gallimard,,,,,,Denoël & d'ailleurs,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Claude Fell.,214070,Le maître du miroir,2001,Gallimard,,,,,,Denoël & d'ailleurs,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Céline Zins.,214073,Apollon et les putains,2003,Gallimard,,,,,,Folio,París,Francia,Francés,Narrativa,Cuento
,214120,T'es qui là?,1955,Seghers,,,,,,,París,Francia,Francés,Narrativa,Cuento
Traducción al francés de : Claude Fell.,214218,Parade d'amour,1989,Seuil,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al inglés de: Natasha Wimmer.,214219,Sudden death,2016,Harvill Secker,,,,,,,Londres,Reino Unido,Inglés,Narrativa,Novela
Traducción al inglés de: Brendan Riley.,214220,Hypothermia,2013,Dalkey Archive Press,,,,,,,Champaign,EUA,Inglés,Narrativa,
Traducción al inglés de: David Pasto.,214221,The house of trials,1997,Peter Lang,,,,,,Ibérica,Nueva York,EUA,Inglés,Dramaturgia,
,214222,Sor Juana : her life and her world,1988,Faber,,,,,,,Londres,Reino Unido,Inglés,Ensayo,
Traducción al sueco de: Hanna Axén.,214223,Klagosång över Miguel Pruneda,2006,Boca Pocky,,,,,,,Estocolmo,Suecia,Sueco,Narrativa,Novela
Traducción al sueco de: Hanna Axén.,214224,Den sista läsaren,2009,Atlas,,,,,,,Estocolmo,Suecia,Sueco,Narrativa,Novela
Traducción al francés de: Jacques Bellefroid.,214225,Batailles dans le désert,1998,La différence,,,,,,Littérature étrangère Mexique,París,Francia,Francés,Narrativa,Novela
Traducción al sueco de: Marika Gedin.,214226,Kroppen jag föddes i,2015,Natur och Kultur,,,,,,,Estocolmo,Suecia,Sueco,Narrativa,Novela
Traducción al francés de : Delphine Valentin.,214227,Pétales et autres histoires embarrassantes,2009,Actes Sud,,,,,,Lettres latino-américaines,Arles,Francia,Francés,Narrativa,Cuento
